shākya bshes gnyen,ཤྰཀྱ་བཤེས་གཉེན
Zla ba la dga' ba (Candranandana),ཟླ་བ་ལ་དགའ་བ
Vajrapāṇi,
Buddhashrījnyāna,
Byang chub bzang po,བྱང་ཆུབ་བཟང་པོ
Jo bo drag 'byor,ཇོ་བོ་དྲག་འབྱོར
Mtsho skyes rdo rje,མཚོ་སྐྱེས་རྡོ་རྗེ
Kumāra,
Kusali pa,
Zla ba gshon nu,ཟླ་བ་གཤོན་ནུ
Anubhūti,
Vibhūticandra,
shrī umāpatidatta,
Mitrānanda,
Suvāgīshvarakīrti,
shāntadeva,
Kīrti,
Snang mdsad my gu,སྣང་མཛད་མྱུ་གུ
Sujayashrībhadra,
Dga' ba'i lha (Harṣadeva),དགའ་བའི་ལྷ ༼ཧརṣཨདེབ༹༽
Lhan cig skyes pa'i rdo rje,ལྷན་ཅིག་སྐྱེས་པའི་རྡོ་རྗེ
Phyogs kyi glang pa,ཕྱོགས་ཀྱི་གླང་པ
Kun spangs rdo rje,ཀུན་སྤངས་རྡོ་རྗེ
Rin chen rdo rje (K),རིན་ཆེན་རྡོ་རྗེ ༼ཀ༽
Jetāri pa,
nyi ma rnam par gnon pa,ཉི་མ་རྣམ་པར་གནོན་པ
Mi pham sbas pa,མི་ཕམ་སྦས་པ
Thogs med,ཐོགས་མེད
Hruṁ mdsad grags pa,ཧྲུṁ་མཛད་གྲགས་པ
Kāmadhenu pa,
Padma 'byung gnas,པདྨ་འབྱུང་གནས
Prajnyāsamudra,
shākya'i bshes gnyen,ཤྰཀྱའི་བཤེས་གཉེན
Puṇyashrīmitra,
Bhyari,
Ye shes grags pa,ཡེ་ཤེས་གྲགས་པ
Thogs med,ཐོགས་མེད
Rdo rje mkha' 'gro,རྡོ་རྗེ་མཁའ་འགྲོ
Jinamitra,
Tārāshrī,
Lūyi pa,
Dkon mchog 'bangs,དཀོན་མཆོག་འབངས
Rnam par grol ba'i sde (Vimmkta sena),རྣམ་པར་གྲོལ་བའི་སྡེ 
Mkha' 'gro ma,མཁའ་འགྲོ་མ
Dri med sbas pa (或Zla ba'i 'od、Rin chen rdo rje my gu),དྲི་མེད་སྦས་པ ༼或ཟླ་བའི་འོད、རིན་ཆེན་རྡོ་རྗེ་མྱུ་གུ༽
shabari dbang phyug,ཤབརི་དབང་ཕྱུག
'gro bzang snying po,འགྲོ་བཟང་སྙིང་པོ
Amogha chung ba,ཨམོགྷ་ཆུང་བ
shes rab go cha,ཤེས་རབ་གོ་ཆ
Skal bzang dga' ba,སྐལ་བཟང་དགའ་བ
Rdo rje gdan pa,རྡོ་རྗེ་གདན་པ
Rin chen 'byung gnas shi ba (Ratnā karashānti),རིན་ཆེན་འབྱུང་གནས་ཞི་བ
Vīryapāda,
Maṇivajra,
'gro bzangs snying po,འགྲོ་བཟངས་སྙིང་པོ
Devākaracandra,
Anantaparahita,
Srid gsum rnam par dag pa'i rdo rje,སྲིད་གསུམ་རྣམ་པར་དག་པའི་རྡོ་རྗེ
Dharmamitra,
Jamāri,
Bha pa,བྷ་པ
Bsod snyoms pa,བསོད་སྙོམས་པ
bhavyakīrti,
ngag gi dbang phyug grags pa,ངག་གི་དབང་ཕྱུག་གྲགས་པ
Zla ba'i 'od (或Rin chen rdo rje'i my gu),ཟླ་བའི་འོད ༼或རིན་ཆེན་རྡོ་རྗེའི་མྱུ་གུ༽
Mkhas pa rnams,མཁས་པ་རྣམས
Rab tu shi ba'i ye shes,རབ་ཏུ་ཞི་བའི་ཡེ་ཤེས
Sahajavilāsa,
Lakṣmīkara,
Lha'i rigs kyi blo gros chen po,ལྷའི་རིགས་ཀྱི་བློ་གྲོས་ཆེན་པོ
Tilli pa,
Dge srungs,དགེ་སྲུངས
Prabhākara,
Ashvakashrī,
Dgra las rgyal gsang ba,དགྲ་ལས་རྒྱལ་གསང་བ
Dpa' bos byin,དཔའ་བོས་བྱིན
shrījayasena,
Mchog sred,མཆོག་སྲེད
Ratnākarashānti,
Dharma pa,
Karo,
Herukavajra,
Dpal mo,དཔལ་མོ
Khri srong lde btsan,ཁྲི་སྲོང་ལྡེ་བཙན
Gshan la phan po'i dbyangs dgon pa,གཤན་ལ་ཕན་པོའི་དབྱངས་དགོན་པ
Lha'i brtul shugs,ལྷའི་བརྟུལ་ཤུགས
'jam dpal grags pa,འཇམ་དཔལ་གྲགས་པ
Thag nas,ཐག་ནས
Khyad par bshes gnyen,ཁྱད་པར་བཤེས་གཉེན
Spyod pa nag po pa,སྤྱོད་པ་ནག་པོ་པ
Dkon mchog 'byung gnas,དཀོན་མཆོག་འབྱུང་གནས
'jig rten gsum gyi rdo rje,འཇིག་རྟེན་གསུམ་གྱི་རྡོ་རྗེ
Candragomin,ཅནདྲགོམིན
Mi gnas rdo rje,མི་གནས་རྡོ་རྗེ
Khyad 'jug spas pa,ཁྱད་འཇུག་སྤས་པ
Dge legs bshes gnyen,དགེ་ལེགས་བཤེས་གཉེན
'od dpag med,འོད་དཔག་མེད
Dpal dbyangs,དཔལ་དབྱངས
Vairocana(?),
Maitri pa,
shrīratnākarashānti,
Dharamashrī(K),
Ye shes bzang po,ཡེ་ཤེས་བཟང་པོ
Candragomin'i gling pa,
Maṇikashrī,
Vīravajra,
Nāgārjuna,
Kokila,ཀོཀིལ
Dpal 'dsin,དཔལ་འཛིན
Jo bo rje,ཇོ་བོ་རྗེ
Thub pas byin,ཐུབ་པས་བྱིན
Girivata,
Naro pa,
Ratnākaragupta,
Jimuṭapātāla,
Vīryasiṁha,
Bhṛnggara,
Nag po rdo rje,ནག་པོ་རྡོ་རྗེ
Pūjāvajra,
Dpag med rdo rje,དཔག་མེད་རྡོ་རྗེ
Snyan grags dge ma,སྙན་གྲགས་དགེ་མ
Vitapāda,
Dpal 'dsin,དཔལ་འཛིན
Seng ge'i go cha (Harivarma),སེང་གེའི་གོ་ཆ
Kumārasena,
Rgyal dka' mi thob zla ba,རྒྱལ་དཀའ་མི་ཐོབ་ཟླ་བ
Kun dga' snying po(?),ཀུན་དགའ་སྙིང་པོ༼?༽
shangku,ཤངཀུ
