སྣར་	སྡེ་	པེ་	ཅོ་
ཅེས་	ཅེ་	ཅེས་	ཅེ་	
དེ ར་	དེ་	དེ ར་	དེ་	
དག	དག	དག	དང་	
པ་	པ འང་	པ་	པ འང་	
འདི་	ནི་	འདི་	ནི་	
ན འང་	ན་	ན འང་	ན་	
དེ ར་	དེ་	དེ ར་	དེ་	
གིས་	གི་	གིས་	གི་	
ན	ཏེ	ན	ཏེ	
པོ ར་	པོ་	པོ ར་	པོ་	
པ	པ ར	པ	པ ར	
བོ་	བ་	བོ་	བ་	
གལ་ལས་	གང་གིས་	གལ་ལས་	གང་གིས་	
ན	པ	ན	པ	
གྱིས་	གྱི་	གྱིས་	གྱི་	
དུ འང་	དུ་	དུ འང་	དུ་	
དེ	པ	དེ	པ	
ནི་	ཉིད་	ནི་	ཉིད་	
པ འི	པ	པ འི	པ	
ཡི་འབྲས་བུ་སྐྱེད	ཡིས་འབྲས་སྐྱེད་ནུས	ཡི་འབྲས་བུ་སྐྱེད	ཡིས་འབྲས་སྐྱེད་ནུས	
བོ་	བོ འང་	བོ་	བོ འང་	
ལ། འབྲས་བུ་	ན། །འབྲས་བུ འི་	ལ། འབྲས་བུ་	ན། །འབྲས་བུ འི་	
དེ་	དེ ས་	དེ་	དེ ས་	
ན་	ན འང་	ན་	ན འང་	
དང་	དག་	དང་	དག་	
བ་	བ འང་	བ་	བ འང་	
གསལ་བ ར་	གསལ་བ་	གསལ་བ ར་	གསལ་བ་	
པ ར་སྐྱེ་བ་	པ་སྐྱེ་བ ར་	པ ར་སྐྱེ་བ་	པ་སྐྱེ་བ ར་	
ཀྱི འང་གཞག་	ཀྱིས་བཞག་	ཀྱི འང་གཞག་	ཀྱིས་བཞག་	
འམ་	བ འམ་	འམ་	བ འམ་	
ལས་	ནས་	ནས་	ནས་	
ཅིག	ཅིང་	ཅིག	ཅིང་	
པ ས	པ	པ ས	པ	
ཡིན	ཡོད	ཡིན	ཡོད	
དང་	དེ་	དང་	དེ་	
ན འང་	ན	ན འང་	ན	
པ་ལ འང་	པ འང་	པ འང་	པ འང་	
གི་	གིས་	གི་	གིས་	
པ འི་	པོ འི་	པ འི་	པོ འི་	
འདི་ན་	འདི ར་ནི་	འདི་ན་	འདི ར་ནི་	
དེ ར་	དེ་	དེ ར་	དེ་	
པ འི་	ན འི་	པ འི་	ན འི་	
འདི་	ནི་	འདི་	ནི་	
ཞིང་	ཡི	ཞིང་	ཡི	
འདི	ནི	འདི	ནི	
པ་	པ ར་	པ་	པ ར་	
དག	དག	དག	དང་	
ཡང་	དག་	ཡང་	དག་	
པདྨོ་	པདྨ་	པདྨོ་	པདྨ་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
པ་	ལྡན་	པ་	ལྡན་	
དགར་	དགའ་	དགར་	དགའ་	
གིས	གི	གིས	གི	
གྱི་	གྱིས་	གྱི་	གྱིས་	
པ་	པ ར་	པ་	པ ར་	
མི་	མ་	མི་	མ་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
པ འང་	པ་	པ འང་	པ་	
བཅུ་	བཅུ འི་	བཅུ་	བཅུ འི་	
ཏེ	ནས	ནས	ནས	
ལ་གཏུགས་	ལས་ཞུས་	ལ་གཏུགས་	ལས་ཞུས་	
པ	པ འོ	པ	པ འོ	
